date,ticker,open_price,close_price,volume,intraday_low,intraday_high
6/27/2023,GIS,82.4,80.9,5218970,80.88,82.59
6/27/2023,GM,37.01,37.48,8977744,36.45,37.51
6/27/2023,GPC,163.3,164.95,899005,163.05,165.8
6/27/2023,GILD,76.65,76.01,4744798,75.8,76.87
6/27/2023,GL,107.35,108.24,610872,107.2,108.42
6/27/2023,GPN,97.1,95.9,2243206,95.72,97.86
6/27/2023,GS,312.41,313.45,2128173,310.56,315.68
6/27/2023,HAL,31.58,32.42,7681824,31.36,32.52
6/27/2023,HIG,71.05,71.38,1393423,70.68,71.56
6/27/2023,HAS,61.07,62.6,989644,61.06,62.68
6/27/2023,HCA,294,297.6,1140054,294,298.48
6/27/2023,PEAK,19.96,20.15,5416840,19.66,20.19
6/27/2023,HSIC,79.44,80.13,658840,79.1,80.24
6/27/2023,HSY,260.46,259.91,638047,258.36,261.58
6/27/2023,HES,134.98,132.87,1813709,132.74,135.02
6/27/2023,HPE,16.4,16.43,10010200,16.33,16.56
6/27/2023,HLT,138.96,141.35,1455042,137.74,141.49
6/27/2023,HOLX,80.98,80.82,1001605,80.28,81.23
6/27/2023,HD,308.15,313.74,5204866,307.89,315.46
6/27/2023,HON,202.56,203.34,2145871,202.56,204.06
6/27/2023,HRL,40.81,40.49,1266636,40.44,40.99
6/27/2023,HST,16.23,16.63,8742596,15.98,16.63
6/27/2023,HWM,46.77,48.1,2900877,46.71,48.14
6/27/2023,HPQ,29.8,29.84,5943876,29.54,29.96
6/27/2023,HUM,445.48,445.92,1024656,441.33,447.06
6/27/2023,HBAN,10.35,10.54,8423556,10.26,10.6
6/27/2023,HII,217.84,221.18,171967,216.93,221.33
6/27/2023,IBM,131.3,132.34,3216153,130.83,132.95
6/27/2023,IEX,206.59,210.75,693674,205.7,210.94
6/27/2023,IDXX,484.44,484.2,437631,475.79,485.43
6/27/2023,ITW,246.98,249.62,1048273,246.16,250.46
6/27/2023,ILMN,190.5,183.43,3099207,182.09,191.24
6/27/2023,INCY,63.09,61.68,1706327,61.17,63.09
6/27/2023,IR,63.52,63.93,3089160,63.15,64.01
6/27/2023,PODD,298.14,293.87,629336,287.15,298.36
6/27/2023,INTC,33.22,34.1,29994293,33.01,34.23
6/27/2023,ICE,110.57,110.87,1471212,110,111
6/27/2023,IFF,77.01,76.65,2545925,76.3,77.36
6/27/2023,IP,31.29,31.67,2087954,31.08,31.82
6/27/2023,IPG,38.94,39.25,5137432,38.94,39.81
6/27/2023,INTU,455.89,459.03,1253338,453.3,460.81
6/27/2023,ISRG,329.51,330.02,1268087,325.29,330.99
6/27/2023,IVZ,16.13,16.5,2413215,16.02,16.55
6/27/2023,INVH,33.82,34.07,1682117,33.54,34.13
6/27/2023,IQV,214,214.66,687559,210.94,215.08
6/27/2023,IRM,54.92,55.74,1031230,54.62,55.95
6/27/2023,JBHT,176.67,178.77,690038,175.93,182.16
6/27/2023,J,115.62,116.39,540809,114.88,116.8
6/27/2023,JKHY,164.06,164.66,300765,163.27,165.77
6/27/2023,JNJ,163.68,163.29,4756541,162.44,163.88
6/27/2023,JCI,66.2,66.95,3117422,66.01,67.21
6/27/2023,JPM,139,139.2,8068177,138.54,139.84
6/27/2023,JNPR,30.05,30.66,2592558,29.88,30.76
6/27/2023,K,68.1,66.7,3550653,66.6,68.4
6/27/2023,KDP,31.12,31.25,6114712,31.07,31.31
6/27/2023,KEY,9.36,9.49,17937295,9.25,9.55
6/27/2023,KEYS,159.33,162.56,569599,159.32,162.85
6/27/2023,KMB,136.38,138.27,1195855,136.08,138.32
6/27/2023,KIM,19.09,19.38,2225936,18.97,19.41
6/27/2023,KMI,16.54,16.8,15831764,16.51,16.82
6/27/2023,KLAC,460.22,476.93,862939,460.22,478.63
6/27/2023,KHC,35.73,35.58,6961460,35.41,35.77
6/27/2023,KR,46.58,46.77,3794541,46.51,47.04
6/27/2023,LHX,191.71,193.65,715019,191.01,194.13
6/27/2023,LH,235.17,238.09,561241,231.26,238.67
6/27/2023,LRCX,623.74,649.16,1283643,622.01,650.23
6/27/2023,LW,115,114.3,835157,113.71,115.42
6/27/2023,LVS,58.37,58.53,2849039,57.87,58.9
6/27/2023,LDOS,85.66,86.43,732608,85.35,86.86
6/27/2023,LEN,121.8,126.06,3095459,121.73,126.35
6/27/2023,LNC,24.38,24.79,3403191,23.93,25.04
6/27/2023,LIN,371.62,375.75,1248198,371.46,376.41
6/27/2023,LYV,87.93,88.07,1399274,87.23,88.8
6/27/2023,LKQ,55.53,57,1258146,55.55,57.28
6/27/2023,LMT,452.79,453.15,669683,452.42,455.63
6/27/2023,L,58.47,58.95,418244,58.39,59.15
6/27/2023,LOW,218.99,223.56,4062636,218.99,223.99
6/27/2023,LYB,89.16,90.29,1572841,88.83,90.32
6/27/2023,MTB,119.03,121.82,1002345,117.77,122.81
6/27/2023,MRO,22,22.11,13363233,21.88,22.3
6/27/2023,MPC,113.14,113.98,2170935,112.42,114.68
6/27/2023,MKTX,263.61,259.37,277363,259.32,266.08
6/27/2023,MAR,173.12,177.31,1442146,172.84,177.54
6/27/2023,MMC,183.22,183.57,1402783,182.99,184.79
6/27/2023,MLM,444,452.09,370760,442.84,453.45
6/27/2023,MAS,55.79,57,1893174,55.76,57.43
6/27/2023,MA,380.34,381.79,2125306,379.01,382.84
6/27/2023,MTCH,42,42,3819771,41.9,42.68
6/27/2023,MKC,93.52,93.25,2748314,92.72,93.77
6/27/2023,MCD,290.31,291.3,1803747,289.65,292.49
6/27/2023,MCK,408.17,414.73,477275,407,415.54
6/27/2023,MDT,86.88,87.15,4976983,86.06,87.23
6/27/2023,MRK,112.83,113.32,7009224,111.87,113.71
6/27/2023,META,282.01,287.05,26011985,280.65,289.35
6/27/2023,MET,54.63,54.98,4752182,54.04,55.26
