Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-29,MET,55.26,56.18,4904174,55.18,56.29
2023-06-29,MTD,1273.42,1316.88,159069,1272.54,1320.87
2023-06-29,MGM,42.60,43.01,2243922,42.46,43.19
2023-06-29,MCHP,86.38,86.98,3353501,85.80,87.27
2023-06-29,MU,67.84,64.33,50890065,63.55,67.95
2023-06-29,MSFT,334.71,335.05,16881565,332.62,336.11
2023-06-29,MAA,149.51,152.07,400520,149.20,152.29
2023-06-29,MRNA,122.50,122.11,1853191,121.30,122.98
2023-06-29,MHK,102.30,103.43,511514,101.63,104.32
2023-06-29,MOH,289.65,294.77,334989,288.66,295.94
2023-06-29,TAP,65.60,65.62,1768757,65.41,65.96
2023-06-29,MDLZ,72.19,72.28,6453393,71.89,72.56
2023-06-29,MPWR,532.25,535.80,398603,524.22,536.77
2023-06-29,MNST,57.00,57.42,4352002,56.81,57.92
2023-06-29,MCO,341.88,344.45,384221,340.42,344.83
2023-06-29,MS,85.34,85.24,9044414,84.63,86.06
2023-06-29,MOS,34.12,34.78,2370613,33.97,34.82
2023-06-29,MSI,284.55,288.59,519840,284.36,288.96
2023-06-29,MSCI,464.57,462.07,718725,460.42,470.70
2023-06-29,NDAQ,49.49,49.85,2785000,49.33,49.85
2023-06-29,NTAP,75.42,76.15,1617011,75.31,76.25
2023-06-29,NFLX,434.33,428.24,4918417,426.15,437.85
2023-06-29,NWL,8.94,8.96,5302769,8.86,9.14
2023-06-29,NEM,40.80,41.95,6026860,40.72,41.97
2023-06-29,NWSA,19.53,19.53,1124305,19.45,19.68
2023-06-29,NWS,19.74,19.74,453232,19.68,19.89
2023-06-29,NEE,72.68,72.81,6703673,72.51,73.60
2023-06-29,NKE,113.60,113.37,8582283,112.61,114.27
2023-06-29,NI,26.94,27.17,3532258,26.88,27.34
2023-06-29,NDSN,241.80,246.75,219353,241.80,247.08
2023-06-29,NSC,222.36,225.98,841669,221.75,226.10
2023-06-29,NTRS,72.40,73.35,1193351,72.30,73.58
2023-06-29,NOC,442.76,451.22,524339,442.40,451.44
2023-06-29,NCLH,21.06,20.90,16958206,20.76,21.58
2023-06-29,NRG,36.57,37.17,3785117,36.41,37.30
2023-06-29,NUE,160.32,163.33,834296,160.32,163.45
2023-06-29,NVDA,415.58,408.22,37356250,406.00,416.00
2023-06-29,NVR,6285.60,6295.61,21754,6200.95,6332.04
2023-06-29,NXPI,197.54,199.76,1613324,195.12,200.49
2023-06-29,ORLY,937.68,937.42,220081,931.38,941.39
2023-06-29,OXY,58.20,58.52,10923501,57.67,58.53
2023-06-29,ODFL,371.49,375.75,913821,368.23,376.73
2023-06-29,OMC,95.87,94.13,1277590,94.02,95.95
2023-06-29,ON,92.00,92.08,3664662,90.72,92.32
2023-06-29,OKE,60.75,61.49,2324989,60.66,61.55
2023-06-29,ORCL,115.65,117.78,9196806,114.63,117.80
2023-06-29,OGN,20.33,20.73,1699210,20.28,20.92
2023-06-29,OTIS,87.05,88.61,1066966,86.70,88.64
2023-06-29,PCAR,80.99,82.61,2168247,80.64,83.27
2023-06-29,PKG,128.89,131.86,865569,128.74,132.00
2023-06-29,PARA,15.67,15.99,9159833,15.62,16.19
2023-06-29,PH,380.90,386.75,520776,378.49,387.30
2023-06-29,PAYX,114.32,109.33,2883983,108.83,114.74
2023-06-29,PAYC,312.23,313.68,330962,309.92,316.18
2023-06-29,PYPL,66.30,65.86,14845709,65.62,67.34
2023-06-29,PNR,62.53,63.68,1176323,62.29,64.02
2023-06-29,PEP,183.25,183.88,5656779,181.39,183.89
2023-06-29,PKI,115.98,115.24,1633024,114.67,117.21
2023-06-29,PFE,35.99,36.12,26189440,35.76,36.22
2023-06-29,PCG,16.86,17.07,30112819,16.86,17.28
2023-06-29,PM,96.07,97.69,3079315,95.95,97.73
2023-06-29,PSX,93.69,94.53,2188717,93.40,94.67
2023-06-29,PNW,79.83,80.73,778581,79.75,81.57
2023-06-29,PXD,204.02,206.07,1146207,203.26,206.67
2023-06-29,PNC,124.74,125.68,2204497,124.50,126.50
2023-06-29,POOL,368.89,370.62,531797,366.62,377.65
2023-06-29,PPG,143.20,145.37,1159363,143.04,145.87
