Ticker,Company,Sector_Id,Industry_Id
OGN,Organon & Co.,S002,I004
OTIS,Otis Worldwide,S001,I139
PCAR,Paccar,S001,I095
PKG,Packaging Corporation of America,S009,I027
PARA,Paramount Global,S004,I154
PH,Parker Hannifin,S001,I139
PAYX,Paychex,S001,I009
PAYC,Paycom,S003,I008
PYPL,PayPal,S008,I203
PNR,Pentair,S001,I139
PEP,PepsiCo,S005,I120
PKI,PerkinElmer,S002,I003
PFE,Pfizer,S002,I004
PCG,PG&E Corporation,S007,I029
PM,Philip Morris International,S005,I025
PSX,Phillips 66,S011,I301
PNW,Pinnacle West,S007,I029
PXD,Pioneer Natural Resources,S011,I044
PNC,PNC Financial Services,S008,I116
POOL,Pool Corporation,S006,I294
PPG,PPG Industries,S009,I017
PPL,PPL Corporation,S007,I021
PFG,Principal Financial Group,S008,I012
PG,Procter & Gamble,S005,I184
PGR,Progressive Corporation,S008,I022
PLD,Prologis,S010,I386
PRU,Prudential Financial,S008,I012
PEG,Public Service Enterprise Group,S007,I021
PTC,PTC,S003,I008
PSA,Public Storage,S010,I192
PHM,PulteGroup,S006,I141
QRVO,Qorvo,S003,I028
PWR,Quanta Services,S001,I269
QCOM,Qualcomm,S003,I028
DGX,Quest Diagnostics,S002,I140
RL,Ralph Lauren Corporation,S006,I342
RJF,Raymond James,S008,I105
RTX,Raytheon Technologies,S001,I058
O,Realty Income,S010,I198
REG,Regency Centers,S010,I198
REGN,Regeneron,S002,I039
RF,Regions Financial Corporation,S008,I116
RSG,Republic Services,S001,I403
RMD,ResMed,S002,I003
RHI,Robert Half,S001,I009
ROK,Rockwell Automation,S001,I038
ROL,"Rollins, Inc.",S001,I403
ROP,Roper Technologies,S003,I277
ROST,Ross Stores,S006,I409
RCL,Royal Caribbean Group,S006,I092
SPGI,S&P Global,S008,I096
CRM,Salesforce,S003,I008
SBAC,SBA Communications,S010,I034
SLB,Schlumberger,S011,I059
STX,Seagate Technology,S003,I045
SEE,Sealed Air,S009,I027
SRE,Sempra Energy,S007,I029
NOW,ServiceNow,S003,I208
SHW,Sherwin-Williams,S009,I017
SPG,Simon Property Group,S010,I198
SWKS,Skyworks Solutions,S003,I028
SJM,J.M. Smucker Company (The),S005,I088
SNA,Snap-on,S001,I139
SEDG,SolarEdge,S003,I046
SO,Southern Company,S007,I021
LUV,Southwest Airlines,S001,I016
SWK,Stanley Black & Decker,S001,I139
SBUX,Starbucks,S006,I108
STT,State Street Corporation,S008,I036
STLD,Steel Dynamics,S009,I350
STE,Steris,S002,I003
SYK,Stryker Corporation,S002,I003
SYF,Synchrony Financial,S008,I032
SNPS,Synopsys,S003,I008
SYY,Sysco,S005,I435
TMUS,T-Mobile US,S004,I436
TROW,T. Rowe Price,S008,I036
TTWO,Take-Two Interactive,S004,I006
TPR,"Tapestry, Inc.",S006,I342
TRGP,Targa Resources,S011,I280
TGT,Target Corporation,S005,I135
TEL,TE Connectivity,S003,I442
TDY,Teledyne Technologies,S003,I277
TFX,Teleflex,S002,I003
TER,Teradyne,S003,I046
TSLA,"Tesla, Inc.",S006,I207
TXN,Texas Instruments,S003,I028
TXT,Textron,S001,I058
TMO,Thermo Fisher Scientific,S002,I068
TJX,TJX Companies,S006,I409
TSCO,Tractor Supply,S006,I055
TT,Trane Technologies,S001,I002
TDG,TransDigm Group,S001,I058
TRV,Travelers Companies (The),S008,I022
TRMB,Trimble Inc.,S003,I277
TFC,Truist,S008,I116
TYL,Tyler Technologies,S003,I008
TSN,Tyson Foods,S005,I088
USB,U.S. Bank,S008,I061
UDR,"UDR, Inc.",S010,I056
ULTA,Ulta Beauty,S006,I055
UNP,Union Pacific Corporation,S001,I138
UAL,United Airlines Holdings,S001,I016
UPS,United Parcel Service,S001,I084
URI,United Rentals,S001,I465
UNH,UnitedHealth Group,S002,I100
UHS,Universal Health Services,S002,I144
VLO,Valero Energy,S011,I301
VTR,Ventas,S010,I232
VRSN,Verisign,S003,I015
VRSK,Verisk,S001,I134
VZ,Verizon,S004,I052
VRTX,Vertex Pharmaceuticals,S002,I039
VFC,VF Corporation,S006,I342
VTRS,Viatris,S002,I004
VICI,Vici Properties,S010,I242
V,Visa Inc.,S008,I203
VMC,Vulcan Materials Company,S009,I305
WAB,Wabtec,S001,I095
WBA,Walgreens Boots Alliance,S005,I480
WMT,Walmart,S005,I135
WBD,Warner Bros. Discovery,S004,I482
WM,Waste Management,S001,I403
WAT,Waters Corporation,S002,I037
WEC,WEC Energy Group,S007,I021
WFC,Wells Fargo,S008,I061
WELL,Welltower,S010,I232
WST,West Pharmaceutical Services,S002,I019
WDC,Western Digital,S003,I045
WRK,WestRock,S009,I027
WY,Weyerhaeuser,S010,I491
WHR,Whirlpool Corporation,S006,I492
WMB,Williams Companies,S011,I280
WTW,Willis Towers Watson,S008,I043
GWW,W. W. Grainger,S001,I139
WYNN,Wynn Resorts,S006,I086
XEL,Xcel Energy,S007,I029
XYL,Xylem Inc.,S001,I139
YUM,Yum! Brands,S006,I108
ZBRA,Zebra Technologies,S003,I277
ZBH,Zimmer Biomet,S002,I003
ZION,Zions Bancorporation,S008,I116
ZTS,Zoetis,S002,I004
