Date,Ticker,Open,Close,Volume,Low,High
6/23/2023,^SP500-25,1299.39,1298.4,556790400,1293,1310.36
6/22/2023,^SP500-25,1286.9,1312.91,444160300,1285.19,1312.91
6/21/2023,^SP500-25,1308.71,1293.07,473580900,1290.64,1311.95
6/20/2023,^SP500-25,1295.32,1308.39,453559700,1292.37,1309.85
6/16/2023,^SP500-25,1309.45,1298.65,610126300,1297.96,1310.06
6/15/2023,^SP500-25,1281.8,1301.04,494538800,1278.47,1305.7
6/14/2023,^SP500-25,1295.86,1292.23,508152400,1275.46,1299.41
6/13/2023,^SP500-25,1292.28,1293.65,494163200,1280.39,1294.55
6/12/2023,^SP500-25,1267.53,1280.79,535114300,1263.15,1282.99
6/9/2023,^SP500-25,1267.75,1258.94,499413600,1256.37,1276.09
6/8/2023,^SP500-25,1237.53,1253.45,459777400,1235.85,1256.2
6/7/2023,^SP500-25,1253.72,1234.14,586192800,1231.87,1257.2
6/6/2023,^SP500-25,1231.65,1245.44,440637400,1230.36,1246.86
6/5/2023,^SP500-25,1229.05,1233.19,404049700,1226.03,1237.08
6/2/2023,^SP500-25,1216.52,1228.92,504859700,1215.62,1233.86
6/1/2023,^SP500-25,1187.38,1202.5,475276600,1179.44,1208.08
5/31/2023,^SP500-25,1190.83,1188.04,633997200,1171.97,1193.61
5/30/2023,^SP500-25,1204.15,1199.02,457283400,1191.68,1208.27
5/26/2023,^SP500-25,1166.58,1190.01,550132400,1166.58,1199.69
5/25/2023,^SP500-25,1172.1,1162.34,400128200,1158.78,1172.1
5/24/2023,^SP500-25,1169.4,1168.38,450275100,1159.17,1174.42
5/23/2023,^SP500-25,1171.45,1171.09,479909400,1169.21,1187.33
5/22/2023,^SP500-25,1187.66,1181.37,421605700,1177.39,1189.3
5/19/2023,^SP500-25,1192.84,1185.73,416353500,1180.43,1193.54
5/18/2023,^SP500-25,1181.31,1195.75,385499700,1180.53,1196.32
5/17/2023,^SP500-25,1162.45,1177.59,459451100,1161.31,1178.71
5/16/2023,^SP500-25,1150.12,1154.05,403652800,1148.49,1164.49
5/15/2023,^SP500-25,1156.67,1156.98,371918400,1146.78,1159.8
5/12/2023,^SP500-25,1170.22,1155.36,406090700,1148.37,1172
5/11/2023,^SP500-25,1161.44,1165.73,367168500,1156.18,1167.13
5/10/2023,^SP500-25,1162.84,1159.34,416534100,1146.27,1168.95
5/9/2023,^SP500-25,1146.54,1152.1,318003800,1143.98,1152.79
5/8/2023,^SP500-25,1151.54,1151.9,374110900,1144.32,1152.31
5/5/2023,^SP500-25,1134.49,1148.4,430867900,1133.96,1150.01
5/4/2023,^SP500-25,1135.69,1125.9,436724100,1124.22,1139.12
5/3/2023,^SP500-25,1139.08,1133.79,469259100,1132.79,1152.6
5/2/2023,^SP500-25,1137.87,1141.94,480025200,1128.72,1144.3
5/1/2023,^SP500-25,1150.07,1140.15,457951700,1138.58,1151.56
4/28/2023,^SP500-25,1148.64,1152.42,484655700,1134.41,1154.75
4/27/2023,^SP500-25,1132.38,1152.85,499102800,1129.53,1154.17
4/26/2023,^SP500-25,1132.18,1121.81,458864600,1119.64,1136.79
4/25/2023,^SP500-25,1141.78,1126.1,428072400,1125.9,1143.64
4/24/2023,^SP500-25,1152.79,1149.64,409926000,1139.3,1159.49
4/21/2023,^SP500-25,1146.6,1150.47,398792500,1138.09,1155.33
4/20/2023,^SP500-25,1135.47,1136.78,530689300,1130.51,1146.45
4/19/2023,^SP500-25,1143.52,1153.85,379921500,1142.74,1160.36
4/18/2023,^SP500-25,1158.31,1153.59,304743500,1148.93,1160.58
4/17/2023,^SP500-25,1148.98,1152.15,328618600,1141.45,1154.86
4/14/2023,^SP500-25,1140.59,1144.4,320014700,1134.86,1151.12
4/13/2023,^SP500-25,1125.71,1142.93,404531600,1122.27,1144.03
4/12/2023,^SP500-25,1142.9,1117.09,423245400,1115.97,1143.76
4/11/2023,^SP500-25,1134.72,1134.57,391019000,1129.8,1141.09
4/10/2023,^SP500-25,1118.59,1134.39,378196800,1111.15,1134.41
4/6/2023,^SP500-25,1124.01,1129.59,338390600,1113.52,1131.13
4/5/2023,^SP500-25,1148.78,1129.03,373252000,1126.71,1148.78
4/4/2023,^SP500-25,1157.58,1152.52,383137400,1142.32,1159.69
4/3/2023,^SP500-25,1153.09,1153.35,425524200,1145.53,1158.53
3/31/2023,^SP500-25,1140.01,1163.98,464824400,1140.01,1164.49
3/30/2023,^SP500-25,1134.59,1134.3,373828700,1129.8,1140.16
3/29/2023,^SP500-25,1115.08,1124.22,404162200,1111.68,1124.78
3/28/2023,^SP500-25,1105.39,1103.2,362332600,1095.66,1107.09
3/27/2023,^SP500-25,1112.56,1104.44,450890800,1099.94,1116.72
3/24/2023,^SP500-25,1101.77,1102.47,425678100,1088.79,1104.29
3/23/2023,^SP500-25,1119.67,1106.39,475469500,1095.45,1128.38
3/22/2023,^SP500-25,1133.75,1106.94,474063800,1106.79,1140.78
3/21/2023,^SP500-25,1114.7,1131.84,477575900,1114.1,1133.37
3/20/2023,^SP500-25,1094.69,1101.95,455836300,1088.13,1107.88
3/17/2023,^SP500-25,1110.12,1097.66,794193200,1088.57,1112.33
3/16/2023,^SP500-25,1086.45,1111.48,510588900,1084.31,1116.09
3/15/2023,^SP500-25,1078.75,1090.94,565312300,1071.31,1091.96
3/14/2023,^SP500-25,1088.01,1093.24,512782000,1079.51,1096.02
3/13/2023,^SP500-25,1058.7,1074.9,599859300,1053.27,1088.23
3/10/2023,^SP500-25,1086.93,1072.43,547276800,1068.92,1097.82
3/9/2023,^SP500-25,1108.97,1083.03,486712100,1081.95,1118.77
3/8/2023,^SP500-25,1108.91,1109.19,400947400,1098.47,1110.17
3/7/2023,^SP500-25,1127.33,1112.05,404663900,1111.59,1131.15
3/6/2023,^SP500-25,1137.34,1127.45,403764000,1127.19,1142.43
3/3/2023,^SP500-25,1121.45,1135.5,454523300,1119.06,1137.5
3/2/2023,^SP500-25,1095.8,1111.95,489167900,1094.96,1113.49
3/1/2023,^SP500-25,1127.48,1115.49,483868000,1109.33,1129.46
2/28/2023,^SP500-25,1131.24,1130.01,570430700,1125.43,1138.14
2/27/2023,^SP500-25,1130.6,1130.63,435749900,1126.36,1139.12
2/24/2023,^SP500-25,1114.47,1117.47,419109200,1108.13,1119.23
2/23/2023,^SP500-25,1139.81,1135.21,451488000,1116.17,1140.35
2/22/2023,^SP500-25,1133,1136.21,480704500,1128.16,1143.52
2/21/2023,^SP500-25,1147.89,1130.38,484993100,1130.19,1154.74
2/17/2023,^SP500-25,1163.4,1169.45,504557600,1149.63,1169.68
2/16/2023,^SP500-25,1178.91,1168.99,509348000,1168.82,1193.14
2/15/2023,^SP500-25,1178.59,1194.85,449215400,1173.42,1194.9
